title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Love Comes Lately,14610,49879,2008-06-13,80,771
Dead Man Down,5345250,7179244,2013-03-08,3645,9991
Pompeii,10340823,94611883,2014-02-21,392,1977
Sarkar Raj,642523,16713933,2008-06-06,0,0
21 and Over,8754168,22383292,2013-03-01,469,6895
From Paris with Love,8158860,28749167,2010-02-05,180,498
Kurbaan,403678,707343,2009-11-20,0,0
Paris 36,44690,11974783,2009-04-03,820,5850
The Amazing Spider-Man,62004688,495900000,2012-07-03,8985,102463
Tim Burton's The Nightmare Before Christmas in 3-D,143289,551741,2009-10-23,0,0
Cars 2,66135507,368400000,2011-06-24,3038,40692
Jennifer's Body,6868397,15351268,2009-09-18,293,3321
Me and Orson Welles,63638,1146169,2009-11-25,79,333
Doubt,507226,17460764,2008-12-12,15202,61799
Goodbye Solo,38042,71428,2009-03-27,64,253
Green Lantern,53174303,103250000,2011-06-17,6117,53690
The Invention of Lying,7027472,13955256,2009-10-02,2107,3882
The Thing,8493665,10500000,2011-10-14,6585,50271
The Guilt Trip,5290629,4729511,2012-12-19,149,533
Annabelle,37134255,171000000,2014-10-03,3896,17834
Lucy,43899340,332200000,2014-07-25,6382,43185
I.O.U.S.A.,61313,5753,2008-08-22,2191,3512
Endless Love,13307125,10639670,2014-02-14,3504,12120
Tokyo Sonata,28345,662074,2009-03-13,13,60
Jonah Hex,5379365,356195,2010-06-18,344,358
Chop Shop,8475,96182,2008-02-27,172,326
Seven Pounds,14851136,98216377,2008-12-19,36,329
Lymelife,27758,104938,2009-04-08,2,0
Scream 4,18692090,58957758,2011-04-15,265,2242
The Other End of the Line,59078,391942,2008-10-31,1111,5196
Hot Tub Time Machine 2,5963324,,2015-02-20,6789,39515
Strange Magic,5504441,,2015-01-23,190,728
Battle in Seattle,46903,684678,2008-09-19,14,63
Fantastic Mr. Fox,265900,25468104,2009-11-13,8061,14623
Frost/Nixon,180708,8804304,2008-12-05,77,737
Underworld Awakening,25306725,97791632,2012-01-20,1550,4202
Don Jon,8677009,5973052,2013-09-27,10475,94177
Kismat Konnection,282122,10529300,2008-07-18,0,0
The Pyramid,1369935,11109102,2014-12-05,771,4448
Case 39,5350570,14928128,2010-10-01,956,2206
Man on Wire,51392,2296327,2008-07-25,2113,6037
The Blind Side,34119372,53248834,2009-11-20,177,2461
Chocolate,11180,3164169,2009-02-06,11882,35149
Love Songs,20488,2862367,2008-03-21,776,15178
Rise of the Guardians,23773465,203528912,2012-11-21,532,1730
The Dictator,17435092,119729311,2012-05-16,11349,90891
Legion,17501625,27750578,2010-01-22,2022,63584
The Mortal Instruments: City of Bones,9336957,59400000,2013-08-21,557,1235
The Expendables 3,15879645,166850000,2014-08-15,13591,66566
Black or White,6213362,,2015-01-30,4348,26494
Religulous,3409643,627955,2008-10-01,9,42
Gone Girl,37513109,200294722,2014-10-03,16148,194742
In Search of a Midnight Kiss,13385,1121571,2008-08-01,457,1991
Percy Jackson & The Olympians: The Lightning Thief,31236067,137728906,2010-02-12,6,37
Addicted,7485346,,2014-10-10,1347,2583
Waltz with Bashir,50021,8842000,2008-12-25,359,950
Project X,21051363,48000000,2012-03-02,1475,4534
Abduction,10925253,54000000,2011-09-23,316,1335
"The Goods: Live Hard, Sell Hard",5642137,172234,2009-08-14,138,778
The Woman in Black 2: Angel of Death,15027415,,2015-01-02,240,1171
Capitalism: A Love Story,231964,3073112,2009-09-23,123,330
Angels & Demons,46204168,352554970,2009-05-15,502,3143
Cowboys & Aliens,36431290,74581774,2011-07-29,2002,4834
Adam,68377,272209,2009-07-29,23669,117464
