title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Dead Man Down,5345250,7179244,2013-03-08,3645,9991
Pompeii,10340823,94611883,2014-02-21,392,1977
21 and Over,8754168,22383292,2013-03-01,469,6895
The Amazing Spider-Man,62004688,495900000,2012-07-03,8985,102463
Cars 2,66135507,368400000,2011-06-24,3038,40692
Green Lantern,53174303,103250000,2011-06-17,6117,53690
The Thing,8493665,10500000,2011-10-14,6585,50271
The Guilt Trip,5290629,4729511,2012-12-19,149,533
Annabelle,37134255,171000000,2014-10-03,3896,17834
Lucy,43899340,332200000,2014-07-25,6382,43185
Endless Love,13307125,10639670,2014-02-14,3504,12120
Scream 4,18692090,58957758,2011-04-15,265,2242
Hot Tub Time Machine 2,5963324,,2015-02-20,6789,39515
Strange Magic,5504441,,2015-01-23,190,728
Underworld Awakening,25306725,97791632,2012-01-20,1550,4202
Don Jon,8677009,5973052,2013-09-27,10475,94177
The Pyramid,1369935,11109102,2014-12-05,771,4448
Rise of the Guardians,23773465,203528912,2012-11-21,532,1730
The Dictator,17435092,119729311,2012-05-16,11349,90891
The Mortal Instruments: City of Bones,9336957,59400000,2013-08-21,557,1235
The Expendables 3,15879645,166850000,2014-08-15,13591,66566
Black or White,6213362,,2015-01-30,4348,26494
Gone Girl,37513109,200294722,2014-10-03,16148,194742
Addicted,7485346,,2014-10-10,1347,2583
Project X,21051363,48000000,2012-03-02,1475,4534
Abduction,10925253,54000000,2011-09-23,316,1335
The Woman in Black 2: Angel of Death,15027415,,2015-01-02,240,1171
Cowboys & Aliens,36431290,74581774,2011-07-29,2002,4834
Gravity,55785112,442300000,2013-10-04,13938,70964
Life of Pi,22451514,484029542,2012-11-21,9912,36636
Blackhat,3901815,9863545,2015-01-16,9636,72911
Moms' Night Out,4311083,,2014-05-09,845,4810
This Means War,17405930,101730488,2012-02-17,7720,34968
Delivery Man,7944977,20500000,2013-11-22,453,1761
Chimpanzee,10673748,5851000,2012-04-20,2942,7998
Alvin and the Chipmunks: Chipwrecked,23244744,209584693,2011-12-16,230,802
The Big Wedding,7591663,24700000,2013-04-26,1365,2458
Planes: Fire & Rescue,17509407,92000000,2014-07-18,10,108
Madagascar 3: Europe's Most Wanted,60316738,530529792,2012-06-08,1338,3950
Planes,22232291,148970000,2013-08-09,14642,75625
Paranormal Activity 3,52568183,103011037,2011-10-21,848,2802
The Giver,12305016,21890082,2014-08-15,11504,36849
Let's Be Cops,17813722,55223280,2014-08-13,1103,3254
Rush,187289,63300000,2013-09-20,14717,80640
Friends with Benefits,18622150,93739491,2011-07-22,223,623
Safe House,40172720,81702771,2012-02-10,1381,4028
For Greater Glory,1885608,3950000,2012-06-01,70,426
Son of God,25601865,8100000,2014-02-28,455,2548
Frozen,243390,873481000,2013-11-22,17829,100664
The Art of Getting By,679160,,2011-06-17,230,2697
"McFarland, USA",11020798,,2015-02-20,14,48
Lawless,10001982,16276453,2012-08-29,5753,17473
J. Edgar,11217324,47300000,2011-11-09,348,3509
Instructions Not Included,7846426,54600000,2013-08-30,195,508
The Hobbit: An Unexpected Journey,84617303,714000000,2012-12-14,10988,45217
The Expendables 2,28591370,220400000,2012-08-17,8670,22589
The Possession,17732480,36315921,2012-08-31,2830,13503
The Lucky One,22518358,38900000,2012-04-20,3406,11022
P.K.,3565258,89754000,2014-12-19,9096,28279
Thor,65723338,268295994,2011-05-06,19506,119689
The Conjuring,41855326,180600000,2013-07-19,3446,19055
Winter's Tale,7297694,18200000,2014-02-14,235,837
Snow White and the Huntsman,56217700,241260448,2012-06-01,3659,13129
The Place Beyond the Pines,279457,14082089,2013-03-29,1365,5676
Hanna,12370549,23522959,2011-04-08,2113,23346
Skyfall,88364714,804200736,2012-11-09,17837,89792
Non-Stop,28875635,130641000,2014-02-28,3298,17278
Moneyball,19501302,34600724,2011-09-23,4770,8622
The Words,4750894,1736623,2012-09-07,15006,56207
After Earth,27520040,183321030,2013-05-31,5241,33829
Believe,2007567,,2013-12-25,14727,81884
Before I Go To Sleep,1843347,11818000,2014-10-31,4000,22321
Admission,6154984,,2013-03-22,2380,5163
Parker,7008222,28600000,2013-01-25,4497,97480
Rise of the Planet of the Apes,54806191,305040864,2011-08-05,3538,13094
