title,domestic gross,foreign gross,total gross,release date,runtime,rating,distributor
Furious 7,"$251,516,400","$548,000,000","$799,516,400","April 3, 2015",2:17,Universal
American Sniper,"$347,211,277","$193,400,000","$540,611,277","December 25, 2014",2:12,Warner Bros.
The Hunger Games: Mockingjay - Part 1,"$337,135,885","$414,964,344","$752,100,229","November 21, 2014",2:3,Lionsgate
Guardians of the Galaxy,"$333,176,600","$441,000,000","$774,176,600","August 1, 2014",2:1,Buena Vista
Captain America: The Winter Soldier,"$259,766,572","$455,000,000","$714,766,572","April 4, 2014",2:16,Buena Vista
The LEGO Movie,"$257,760,692","$211,000,000","$468,760,692","February 7, 2014",1:40,Warner Bros.
The Hobbit: The Battle of the Five Armies,"$255,119,788","$700,000,000","$955,119,788","December 17, 2014",2:24,Warner Bros.
Transformers: Age of Extinction,"$245,439,076","$845,966,021","$1,091,405,097","June 27, 2014",2:45,Paramount
Maleficent,"$241,410,378","$517,000,000","$758,410,378","May 30, 2014",1:37,Buena Vista
X-Men: Days of Future Past,"$233,921,534","$514,200,000","$748,121,534","May 23, 2014",2:11,Fox
Big Hero 6,"$222,366,600","$429,600,000","$651,966,600","November 7, 2014",1:48,Buena Vista
Dawn of the Planet of the Apes,"$208,545,589","$500,290,000","$708,835,589","July 11, 2014",2:10,Fox
The Amazing Spider-Man 2,"$202,853,933","$506,128,390","$708,982,323","May 2, 2014",2:22,Sony / Columbia
Godzilla,"$200,676,069","$328,000,000","$528,676,069","May 16, 2014",2:3,Warner Bros.
22 Jump Street,"$191,719,337","$139,614,539","$331,333,876","June 13, 2014",1:52,Sony / Columbia
Teenage Mutant Ninja Turtles,"$191,204,754","$293,800,000","$485,004,754","August 8, 2014",1:41,Paramount
Interstellar,"$188,020,017","$484,700,000","$672,720,017","November 5, 2014",2:49,Paramount
How to Train Your Dragon 2,"$177,002,924","$441,907,011","$618,909,935","June 13, 2014",1:45,Fox
Gone Girl,"$167,767,189","$200,294,722","$368,061,911","October 3, 2014",2:25,Fox
Divergent,"$150,947,895","$137,800,000","$288,747,895","March 21, 2014",2:23,Lionsgate/Summit
